,isindb-Title,isindb-ISIN,isindb-Country,isindb-Description,isindb-Type
0,WILLIAMS-SONOMA INC.DL-01,US9699041011,United States,"Equity, ISIN US9699041011, WKN 867980, WM1",Equity
0,,INE210A01017,,,
0,,US9706461053,,COM,
0,"WILMAR INTL LTD. SD -,50",SG1T56930848,Singapore,"Equity, ISIN SG1T56930848, WKN A0KEWL, RTHA",Equity
0,Wacker Chemie AG,DE000WCH8881,Germany,"Equity, ISIN DE000WCH8881, WKN WCH888, WCH",Equity
0,,GB0009692319,,ORD GBP0.05,
0,WILSON BAYLY HOL.-OVCON,ZAE000009932,South Africa,"Equity, ISIN ZAE000009932, WKN A0HHCX, WQ9",Equity
0,,JP3154200004,JAPAN,SHS WILSON LEARNING WORLDWIDE INC.,EQUITY
0,ALPHA GROUP INC,JP3126370000,JAPAN,SHS ALPHA GROUP INC,EQUITY
0,WIN HANVERKY HOLDINGS LTD,KYG9716W1087,CAYMAN ISLANDS,SHS WIN HANVERKY HOLDINGS LTD.,EQUITY
0,,GB0030329360,,,
0,WINCOR NIXDORF Aktiengesellschaft,DE000A0CAYB2,Germany,"Equity, ISIN DE000A0CAYB2, WKN A0CAYB, WIN",Equity
0,,AU000000WEL6,AU,ORDINARY FULLY PAID,
0,"WIND ENERGY AMER. DL-,05",US9731461037,United States,"Equity, ISIN US9731461037, WKN A0MP3G, 41W",Equity
0,WIND WORKS POW.(NEV)DL-01,US97315W1053,United States,"Equity, ISIN US97315W1053, WKN A0RPM2, R5E1",Equity
0,NANKAI TATSUMARA CONSTRUCTION CO LTD,JP3652600002,JAPAN,SHS NANKAI TATSUMARA ORD REG,EQUITY
0,,INE052A01021,,,
0,WINFIELD CAPITAL CORP,US9738591018,UNITED STATES OF AMERICA,SHS WINFIELD CAPITAL CORP,EQUITY
0,,SG1K66001688,,,
0,,US9742501029,,COM,
0,"WINNEBAGO IND. DL-,50",US9746371007,United States,"Equity, ISIN US9746371007, WKN 857479, WI1",Equity
0,WINNING BRANDS CORPORATION,US9750122049,UNITED STATES OF AMERICA,SHS WINNING BRANDS ORD REG (NEW),EQUITY
0,,JP3803600000,JAPAN,SHS FUKUI BANK LTD,EQUITY
0,TAMAGAWA HOLDINGS CO LTD,JP3470700000,JAPAN,SHS TAMAGAWA HOLDINGS ORD REG,EQUITY
0,,KYG971741098,KY,SHS,
0,,CA97535P1045,CANADA,SHS WINPAK LTD ORD REG,EQUITY
0,,INE784B01035,,,
0,WINSTON PHARMACEUTICALS INC (FORMERLY KNOWN AS G,US9756571074,UNITED STATES OF AMERICA,SHS WINSTON PHARMA ORD REG,EQUITY
0,,US9763913004,,SH BEN INT NEW,
